Date,Value
1999-12-01,100.0
2000-01-01,99.9
2000-02-01,100.8
2000-03-01,103.0
2000-04-01,102.8
2000-05-01,102.9
2000-06-01,104.2
2000-07-01,103.9
2000-08-01,102.8
2000-09-01,103.8
2000-10-01,103.7
2000-11-01,104.2
2000-12-01,103.6
2001-01-01,103.6
2001-02-01,103.8
2001-03-01,103.2
2001-04-01,104.7
2001-05-01,106.6
2001-06-01,106.1
2001-07-01,103.6
2001-08-01,102.8
2001-09-01,104.3
2001-10-01,102.4
2001-11-01,101.1
2001-12-01,99.7
2002-01-01,99.9
2002-02-01,99.7
2002-03-01,101.2
2002-04-01,103.3
2002-05-01,103.3
2002-06-01,103.0
2002-07-01,103.2
2002-08-01,103.3
2002-09-01,103.3
2002-10-01,103.9
2002-11-01,104.0
2002-12-01,103.3
2003-01-01,104.2
2003-02-01,106.4
2003-03-01,107.6
2003-04-01,106.5
2003-05-01,105.2
2003-06-01,104.9
2003-07-01,104.8
2003-08-01,105.7
2003-09-01,106.4
2003-10-01,104.9
2003-11-01,104.0
2003-12-01,103.4
2004-01-01,105.0
2004-02-01,106.3
2004-03-01,107.5
2004-04-01,108.4
2004-05-01,110.5
2004-06-01,110.8
2004-07-01,109.7
2004-08-01,108.9
2004-09-01,109.0
2004-10-01,111.2
2004-11-01,111.7
2004-12-01,110.2
2005-01-01,109.7
2005-02-01,111.0
2005-03-01,112.9
2005-04-01,115.8
2005-05-01,115.0
2005-06-01,114.8
2005-07-01,116.3
2005-08-01,118.2
2005-09-01,123.5
2005-10-01,122.3
2005-11-01,116.7
2005-12-01,114.5
2006-01-01,116.7
2006-02-01,116.6
2006-03-01,117.8
2006-04-01,122.5
2006-05-01,124.9
2006-06-01,124.7
2006-07-01,125.8
2006-08-01,125.4
2006-09-01,120.6
2006-10-01,116.6
2006-11-01,115.9
2006-12-01,117.0
2007-01-01,116.306
2007-02-01,116.476
2007-03-01,120.443
2007-04-01,123.684
2007-05-01,126.698
2007-06-01,126.269
2007-07-01,125.575
2007-08-01,123.636
2007-09-01,123.736
2007-10-01,124.119
2007-11-01,128.019
2007-12-01,127.515
2008-01-01,128.044
2008-02-01,127.936
2008-03-01,131.358
2008-04-01,134.094
2008-05-01,139.084
2008-06-01,143.462
2008-07-01,144.132
2008-08-01,140.264
2008-09-01,138.501
2008-10-01,131.449
2008-11-01,116.811
2008-12-01,109.300
2009-01-01,110.961
2009-02-01,113.135
2009-03-01,113.259
2009-04-01,114.967
2009-05-01,117.984
2009-06-01,123.533
2009-07-01,122.871
2009-08-01,123.879
2009-09-01,123.693
2009-10-01,124.602
2009-11-01,126.673
2009-12-01,126.503
2010-01-01,128.210
2010-02-01,127.456
2010-03-01,129.308
2010-04-01,130.557
2010-05-01,131.135
2010-06-01,129.514
2010-07-01,129.691
2010-08-01,129.956
2010-09-01,129.180
2010-10-01,130.420
2010-11-01,131.170
2010-12-01,133.060
2011-01-01,135.091
2011-02-01,136.588
2011-03-01,142.380
2011-04-01,146.166
2011-05-01,148.307
2011-06-01,145.910
2011-07-01,145.364
2011-08-01,145.320
2011-09-01,144.792
2011-10-01,142.656
2011-11-01,142.088
2011-12-01,140.038
2012-01-01,141.752
2012-02-01,144.501
2012-03-01,148.952
2012-04-01,150.290
2012-05-01,148.882
2012-06-01,146.065
2012-07-01,144.717
2012-08-01,147.703
2012-09-01,149.270
2012-10-01,148.274
2012-11-01,144.698
2012-12-01,142.920
2013-01-01,143.239
2013-02-01,148.114
2013-03-01,149.132
2013-04-01,147.692
2013-05-01,148.155
2013-06-01,148.453
2013-07-01,148.324
2013-08-01,147.862
2013-09-01,147.098
2013-10-01,145.144
2013-11-01,143.813
2013-12-01,143.878
2014-01-01,144.210
2014-02-01,145.006
2014-03-01,147.664
2014-04-01,149.996
2014-05-01,150.884
2014-06-01,150.992
2014-07-01,149.896
2014-08-01,147.649
2014-09-01,146.420
2014-10-01,143.956
2014-11-01,140.021
2014-12-01,135.186
2015-01-01,129.128
2015-02-01,131.442
2015-03-01,135.461
2015-04-01,136.135
2015-05-01,139.908
2015-06-01,140.931
2015-07-01,140.250
2015-08-01,137.884
2015-09-01,134.390
2015-10-01,133.062
2015-11-01,132.077
2015-12-01,130.283
2016-01-01,129.298
2016-02-01,126.838
2016-03-01,130.043
2016-04-01,133.047
2016-05-01,135.190
2016-06-01,136.312
2016-07-01,133.865
2016-08-01,132.331
2016-09-01,132.477
2016-10-01,133.091
2016-11-01,132.448
2016-12-01,133.026
2017-01-01,135.265
2017-02-01,135.145
2017-03-01,135.817
2017-04-01,137.389
2017-05-01,137.320
2017-06-01,136.672
2017-07-01,135.176
2017-08-01,135.515
2017-09-01,137.830
2017-10-01,136.415
2017-11-01,137.236
2017-12-01,136.453
2018-01-01,137.852
2018-02-01,139.076
2018-03-01,139.429
2018-04-01,141.169
2018-05-01,143.121
2018-06-01,143.497
2018-07-01,142.992
2018-08-01,142.407
2018-09-01,141.423
2018-10-01,142.111
2018-11-01,140.232
2018-12-01,136.726
2019-01-01,135.234
2019-02-01,136.463
2019-03-01,139.382
2019-04-01,142.347
2019-05-01,142.906
2019-06-01,141.865
2019-07-01,141.981
2019-08-01,140.589
2019-09-01,139.191
2019-10-01,139.854
2019-11-01,139.430
2019-12-01,138.643
2020-01-01,138.524
2020-02-01,138.306
2020-03-01,136.106
2020-04-01,129.344
2020-05-01,126.900
2020-06-01,129.496
2020-07-01,133.626
2020-08-01,135.057
2020-09-01,134.857
2020-10-01,134.635
