DATE,A020RL1Q158SBEA
1947-04-01,-4.9
1947-07-01,-18.8
1947-10-01,-38.2
1948-01-01,-17.1
1948-04-01,-32.5
1948-07-01,9.7
1948-10-01,-13.3
1949-01-01,57.0
1949-04-01,-3.4
1949-07-01,-29.4
1949-10-01,-43.8
1950-01-01,-6.4
1950-04-01,4.9
1950-07-01,10.7
1950-10-01,36.5
1951-01-01,21.6
1951-04-01,45.6
1951-07-01,10.2
1951-10-01,-3.8
1952-01-01,23.1
1952-04-01,-37.2
1952-07-01,-28.1
1952-10-01,2.8
1953-01-01,-6.6
1953-04-01,2.5
1953-07-01,17.1
1953-10-01,-12.6
1954-01-01,-16.8
1954-04-01,71.2
1954-07-01,-12.3
1954-10-01,19.8
1955-01-01,15.7
1955-04-01,-9.1
1955-07-01,29.0
1955-10-01,1.8
1956-01-01,20.4
1956-04-01,29.8
1956-07-01,14.1
1956-10-01,19.1
1957-01-01,28.7
1957-04-01,-11.4
1957-07-01,-10.7
1957-10-01,-11.4
1958-01-01,-34.1
1958-04-01,1.8
1958-07-01,1.3
1958-10-01,-1.5
1959-01-01,32.3
1959-04-01,-3.2
1959-07-01,44.5
1959-10-01,-18.4
1960-01-01,62.3
1960-04-01,12.0
1960-07-01,9.0
1960-10-01,2.2
1961-01-01,-2.7
1961-04-01,-17.3
1961-07-01,19.3
1961-10-01,6.7
1962-01-01,-2.3
1962-04-01,25.0
1962-07-01,-0.7
1962-10-01,-12.3
1963-01-01,6.2
1963-04-01,36.0
1963-07-01,-2.0
1963-10-01,16.5
1964-01-01,21.9
1964-04-01,-1.6
1964-07-01,13.1
1964-10-01,8.3
1965-01-01,-39.0
1965-04-01,85.7
1965-07-01,-8.6
1965-10-01,26.7
1966-01-01,-9.5
1966-04-01,12.6
1966-07-01,-4.7
1966-10-01,10.3
1967-01-01,5.0
1967-04-01,-5.2
1967-07-01,-3.2
1967-10-01,7.8
1968-01-01,11.7
1968-04-01,6.9
1968-07-01,31.6
1968-10-01,-8.6
1969-01-01,-39.0
1969-04-01,121.0
1969-07-01,-6.5
1969-10-01,10.8
1970-01-01,5.4
1970-04-01,16.4
1970-07-01,1.6
1970-10-01,0.8
1971-01-01,3.7
1971-04-01,-2.9
1971-07-01,21.5
1971-10-01,-32.1
1972-01-01,53.8
1972-04-01,-11.1
1972-07-01,26.3
1972-10-01,18.1
1973-01-01,32.6
1973-04-01,20.7
1973-07-01,1.4
1973-10-01,21.1
1974-01-01,5.3
1974-04-01,21.0
1974-07-01,-19.9
1974-10-01,10.9
1975-01-01,2.8
1975-04-01,-11.1
1975-07-01,-6.6
1975-10-01,24.6
1976-01-01,-2.7
1976-04-01,4.1
1976-07-01,12.1
1976-10-01,4.1
1977-01-01,-6.3
1977-04-01,11.2
1977-07-01,3.1
1977-10-01,-12.2
1978-01-01,9.8
1978-04-01,48.7
1978-07-01,4.4
1978-10-01,16.8
1979-01-01,0.3
1979-04-01,1.0
1979-07-01,15.2
1979-10-01,27.7
1980-01-01,11.6
1980-04-01,7.8
1980-07-01,-0.9
1980-10-01,-2.4
1981-01-01,7.7
1981-04-01,2.2
1981-07-01,-8.2
1981-10-01,1.8
1982-01-01,-16.3
1982-04-01,2.4
1982-07-01,-16.6
1982-10-01,-17.1
1983-01-01,6.6
1983-04-01,1.2
1983-07-01,6.2
