DATE,FGCE
1947-01-01,26.956
1947-04-01,26.424
1947-07-01,25.038
1947-10-01,24.525
1948-01-01,25.35
1948-04-01,26.585
1948-07-01,27.485
1948-10-01,28.744
1949-01-01,30.182
1949-04-01,31.243
1949-07-01,30.476
1949-10-01,29.79
1950-01-01,28.544
1950-04-01,28.924
1950-07-01,28.428
1950-10-01,31.776
1951-01-01,39.574
1951-04-01,46.602
1951-07-01,54.303
1951-10-01,59.311
1952-01-01,60.899
1952-04-01,64.067
1952-07-01,66.178
1952-10-01,68.116
1953-01-01,69.659
1953-04-01,71.95
1953-07-01,69.969
1953-10-01,69.519
1954-01-01,66.734
1954-04-01,63.692
1954-07-01,61.352
1954-10-01,61.244
1955-01-01,60.72
1955-04-01,60.849
1955-07-01,61.923
1955-10-01,60.57
1956-01-01,60.989
1956-04-01,63.516
1956-07-01,62.796
1956-10-01,65.158
1957-01-01,67.892
1957-04-01,67.524
1957-07-01,68.355
1957-10-01,70.043
1958-01-01,68.738
1958-04-01,71.549
1958-07-01,71.885
1958-10-01,73.912
1959-01-01,72.367
1959-04-01,73.58
1959-07-01,74.532
1959-10-01,73.836
1960-01-01,70.981
1960-04-01,71.066
1960-07-01,74.161
1960-10-01,75.291
1961-01-01,75.281
1961-04-01,76.174
1961-07-01,78.136
1961-10-01,79.925
1962-01-01,83.331
1962-04-01,84.127
1962-07-01,87.019
1962-10-01,87.596
1963-01-01,86.208
1963-04-01,85.764
1963-07-01,89.876
1963-10-01,89.653
1964-01-01,90.084
1964-04-01,90.125
1964-07-01,90.847
1964-10-01,89.968
1965-01-01,89.493
1965-04-01,90.116
1965-07-01,94.476
1965-10-01,98.697
1966-01-01,101.202
1966-04-01,104.01
1966-07-01,109.934
1966-10-01,111.155
1967-01-01,117.935
1967-04-01,117.918
1967-07-01,120.961
1967-10-01,123.209
1968-01-01,126.409
1968-04-01,127.154
1968-07-01,128.537
1968-10-01,129.749
1969-01-01,129.608
1969-04-01,129.782
1969-07-01,133.392
1969-10-01,131.991
1970-01-01,133.559
1970-04-01,131.76
1970-07-01,132.36
1970-10-01,133.54
1971-01-01,133.347
1971-04-01,134.252
1971-07-01,135.604
1971-10-01,134.712
1972-01-01,141.416
1972-04-01,144.235
1972-07-01,138.763
1972-10-01,142.167
1973-01-01,146.354
1973-04-01,146.517
1973-07-01,144.24
1973-10-01,147.63
1974-01-01,152.687
1974-04-01,154.877
1974-07-01,160.404
1974-10-01,167.37
1975-01-01,168.635
1975-04-01,169.392
1975-07-01,176.118
1975-10-01,180.772
1976-01-01,181.601
1976-04-01,182.502
1976-07-01,184.874
1976-10-01,190.224
1977-01-01,194.23
1977-04-01,198.93
1977-07-01,201.899
1977-10-01,206.299
1978-01-01,208.795
1978-04-01,217.004
1978-07-01,222.073
1978-10-01,227.818
1979-01-01,231.682
1979-04-01,237.578
1979-07-01,243.694
1979-10-01,249.342
1980-01-01,261.064
1980-04-01,276.514
1980-07-01,276.086
1980-10-01,285.815
1981-01-01,297.218
1981-04-01,311.91
1981-07-01,317.448
1981-10-01,329.343
1982-01-01,334.857
1982-04-01,342.92
1982-07-01,351.509
1982-10-01,364.058
1983-01-01,370.501
1983-04-01,380.323
1983-07-01,394.447
1983-10-01,384.159
1984-01-01,392.404
1984-04-01,408.298
1984-07-01,413.986
1984-10-01,432.53
1985-01-01,434.778
1985-04-01,447.306
1985-07-01,463.111
1985-10-01,466.441
1986-01-01,463.966
1986-04-01,477.801
1986-07-01,495.057
1986-10-01,489.807
1987-01-01,492.136
1987-04-01,501.195
1987-07-01,504.113
1987-10-01,513.695
1988-01-01,505.781
1988-04-01,506.939
1988-07-01,507.399
1988-10-01,525.639
1989-01-01,519.856
1989-04-01,534.328
1989-07-01,541.409
1989-10-01,540.824
1990-01-01,553.681
1990-04-01,563.935
1990-07-01,562.235
1990-10-01,569.655
1991-01-01,581.371
1991-04-01,586.644
1991-07-01,586.324
1991-10-01,577.406
1992-01-01,580.332
1992-04-01,580.904
1992-07-01,594.2
1992-10-01,598.377
1993-01-01,580.289
1993-04-01,576.737
1993-07-01,578.741
1993-10-01,584.909
1994-01-01,567.047
1994-04-01,569.374
1994-07-01,586.518
1994-10-01,575.796
1995-01-01,579.066
1995-04-01,581.01
1995-07-01,579.337
1995-10-01,567.315
1996-01-01,579.828
1996-04-01,582.142
1996-07-01,577.756
1996-10-01,576.913
1997-01-01,570.705
1997-04-01,587.181
1997-07-01,586.047
1997-10-01,589.224
1998-01-01,572.164
1998-04-01,587.065
1998-07-01,588.63
1998-10-01,594.203
1999-01-01,595.141
1999-04-01,599.246
1999-07-01,614.158
1999-10-01,634.344
2000-01-01,619.368
2000-04-01,641.178
2000-07-01,633.55
2000-10-01,638.18
2001-01-01,653.277
2001-04-01,666.231
2001-07-01,674.447
2001-10-01,686.892
2002-01-01,714.032
2002-04-01,734.758
2002-07-01,748.351
2002-10-01,775.246
2003-01-01,792.724
2003-04-01,825.97
2003-07-01,833.257
2003-10-01,855.125
2004-01-01,871.8
2004-04-01,884.561
2004-07-01,902.509
2004-10-01,909.622
2005-01-01,931.826
2005-04-01,939.279
2005-07-01,956.393
2005-10-01,963.65
2006-01-01,997.067
2006-04-01,997.164
2006-07-01,995.447
2006-10-01,1015.078
2007-01-01,1017.545
2007-04-01,1042.453
2007-07-01,1058.838
2007-10-01,1085.263
2008-01-01,1111.183
2008-04-01,1146.64
2008-07-01,1170.238
2008-10-01,1179.781
2009-01-01,1185.23
2009-04-01,1213.488
2009-07-01,1228.253
2009-10-01,1256.168
2010-01-01,1278.359
2010-04-01,1305.049
2010-07-01,1304.343
2010-10-01,1312.878
2011-01-01,1305.974
2011-04-01,1312.725
2011-07-01,1288.651
2011-10-01,1291.701
2012-01-01,1296.091
2012-04-01,1288.592
2012-07-01,1293.789
2012-10-01,1269.569
2013-01-01,1240.079
2013-04-01,1232.561
2013-07-01,1219.64
