Date,DGS10,DGS2,DGS5
1959-01-01,,,
1959-02-01,,,
1959-03-01,,,
1959-04-01,,,
1959-05-01,,,
1959-06-01,,,
1959-07-01,,,
1959-08-01,,,
1959-09-01,,,
1959-10-01,,,
1959-11-01,,,
1959-12-01,,,
1960-01-01,,,
1960-02-01,,,
1960-03-01,,,
1960-04-01,,,
1960-05-01,,,
1960-06-01,,,
1960-07-01,,,
1960-08-01,,,
1960-09-01,,,
1960-10-01,,,
1960-11-01,,,
1960-12-01,,,
1961-01-01,,,
1961-02-01,,,
1961-03-01,,,
1961-04-01,,,
1961-05-01,,,
1961-06-01,,,
1961-07-01,,,
1961-08-01,,,
1961-09-01,,,
1961-10-01,,,
1961-11-01,,,
1961-12-01,,,
1962-01-01,,,
1962-02-01,4.09,,4.0
1962-03-01,3.98,,3.71
1962-04-01,,,
1962-05-01,3.85,,3.63
1962-06-01,3.89,,3.64
1962-07-01,,,
1962-08-01,4.03,,3.8
1962-09-01,,,
1962-10-01,3.93,,3.64
1962-11-01,3.92,,3.63
1962-12-01,,,
1963-01-01,,,
1963-02-01,3.88,,3.66
1963-03-01,3.93,,3.67
1963-04-01,3.95,,3.7
1963-05-01,3.94,,3.72
1963-06-01,,,
1963-07-01,4.01,,3.82
1963-08-01,3.99,,3.87
1963-09-01,,,
1963-10-01,4.07,,3.93
1963-11-01,4.15,,4.01
1963-12-01,,,
1964-01-01,,,
1964-02-01,,,
1964-03-01,,,
1964-04-01,4.23,,4.17
1964-05-01,4.22,,4.12
1964-06-01,4.19,,4.03
1964-07-01,4.15,,4.01
1964-08-01,,,
1964-09-01,4.21,,4.08
1964-10-01,4.18,,4.05
1964-11-01,,,
1964-12-01,4.2,,4.13
1965-01-01,,,
1965-02-01,4.2,,4.12
1965-03-01,4.22,,4.16
1965-04-01,4.2,,4.14
1965-05-01,,,
1965-06-01,4.23,,4.15
1965-07-01,4.2,,4.15
1965-08-01,,,
1965-09-01,4.28,,4.23
1965-10-01,4.36,,4.34
1965-11-01,4.43,,4.43
1965-12-01,4.52,,4.52
1966-01-01,,,
1966-02-01,4.69,,4.94
1966-03-01,5.01,,5.02
1966-04-01,4.7,,4.81
1966-05-01,,,
1966-06-01,4.79,,5.02
1966-07-01,4.99,,5.11
1966-08-01,5.05,,5.26
1966-09-01,5.3,,5.63
1966-10-01,,,
1966-11-01,4.99,,5.26
1966-12-01,5.09,,5.25
1967-01-01,,,
1967-02-01,4.52,,4.68
1967-03-01,4.66,,4.7
1967-04-01,,,
1967-05-01,4.77,,4.7
1967-06-01,4.81,,4.72
1967-07-01,,,
1967-08-01,5.18,,5.18
1967-09-01,5.25,,5.32
1967-10-01,,,
1967-11-01,5.7,,5.76
1967-12-01,5.78,,5.82
1968-01-01,,,
1968-02-01,5.58,,5.6
1968-03-01,5.56,,5.57
1968-04-01,5.64,,5.64
1968-05-01,5.73,,5.92
1968-06-01,,,
1968-07-01,5.62,,5.77
1968-08-01,5.38,,5.47
1968-09-01,,,
1968-10-01,5.49,,5.48
1968-11-01,5.61,,5.56
1968-12-01,,,
1969-01-01,,,
1969-02-01,,,
1969-03-01,,,
1969-04-01,6.25,,6.32
1969-05-01,6.25,,6.46
1969-06-01,,,
1969-07-01,6.75,,7.02
1969-08-01,6.66,,6.98
1969-09-01,,,
1969-10-01,7.52,,8.04
1969-11-01,,,
1969-12-01,7.29,,7.56
1970-01-01,,,
1970-02-01,,,
1970-03-01,,,
1970-04-01,7.04,,7.18
1970-05-01,7.85,,7.98
1970-06-01,7.84,,7.73
1970-07-01,7.64,,7.69
1970-08-01,,,
1970-09-01,7.47,,7.43
1970-10-01,7.29,,7.19
1970-11-01,,,
1970-12-01,6.48,,6.0
1971-01-01,,,
1971-02-01,6.09,,5.79
1971-03-01,6.12,,5.35
1971-04-01,5.58,,5.16
1971-05-01,,,
1971-06-01,6.36,,6.27
1971-07-01,6.69,,6.83
1971-08-01,,,
1971-09-01,6.22,,6.09
1971-10-01,6.0,,6.04
1971-11-01,5.8,,5.75
1971-12-01,5.92,,5.8
1972-01-01,,,
1972-02-01,6.09,,5.78
